"Story","Title","Result","Date","Stability","Duration (s)"
"login","As user i have be able to success login","SUCCESS","2023-05-08T01:31:33.726+07:00[Asia/Bangkok]","0.0","10.8"
"login","As user i haven't be able to login when using invalid email","SUCCESS","2023-05-08T01:31:45.46+07:00[Asia/Bangkok]","0.0","4.52"
"login","As user i haven't be able to login when using invalid password","SUCCESS","2023-05-08T01:31:50.678+07:00[Asia/Bangkok]","0.0","4.66"
"login","As user i haven't be able to login when using invalid email and invalid password","SUCCESS","2023-05-08T01:31:56.029+07:00[Asia/Bangkok]","0.0","4.25"
"login","As user i haven't be able to login when using empty email","SUCCESS","2023-05-08T01:32:00.949+07:00[Asia/Bangkok]","0.0","4.29"
"login","As user i haven't be able to login when using empty password","SUCCESS","2023-05-08T01:32:05.934+07:00[Asia/Bangkok]","0.0","4.32"
"login","As user i haven't be able to login when using empty email and empty password","SUCCESS","2023-05-08T01:32:10.921+07:00[Asia/Bangkok]","0.0","3.99"
"Orders","As user i have be able to success see purchase details of a product in cart","SUCCESS","2023-05-08T01:32:15.601+07:00[Asia/Bangkok]","0.0","7.88"
"Orders","As user i have be able to success increasing the quantity product in cart","SUCCESS","2023-05-08T01:32:24.169+07:00[Asia/Bangkok]","0.0","8.55"
"Orders","As user i can view details of two products that have been purchased in the cart","SUCCESS","2023-05-08T01:32:33.481+07:00[Asia/Bangkok]","0.0","7.94"
"Products","As user i have be able to success see product details","SUCCESS","2023-05-08T01:32:42.096+07:00[Asia/Bangkok]","0.0","6.47"
"Products","As user i have be able to success adding purchase product","SUCCESS","2023-05-08T01:32:49.239+07:00[Asia/Bangkok]","0.0","11.23"
"Products","As user i have be able to success adding two purchase product","SUCCESS","2023-05-08T01:33:01.125+07:00[Asia/Bangkok]","0.0","6.78"
"Register","As user i have be able to success register","SUCCESS","2023-05-08T01:33:08.586+07:00[Asia/Bangkok]","0.0","4.67"
"Transactions","As user i can view detail transactions of two products that have been purchased in the cart","SUCCESS","2023-05-08T01:33:13.926+07:00[Asia/Bangkok]","0.0","8.52"
